strategy_id,N_fast,N_slow
nf_0026_ns_1818,26,1818
nf_0026_ns_1844,26,1844
nf_0026_ns_1871,26,1871
nf_0026_ns_1898,26,1898
nf_0026_ns_1924,26,1924
nf_0026_ns_1951,26,1951
nf_0026_ns_1978,26,1978
nf_0026_ns_2005,26,2005
nf_0026_ns_2031,26,2031
nf_0026_ns_2058,26,2058
nf_0026_ns_2085,26,2085
nf_0026_ns_2112,26,2112
nf_0026_ns_2138,26,2138
nf_0026_ns_2165,26,2165
nf_0026_ns_2192,26,2192
nf_0026_ns_2218,26,2218
nf_0026_ns_2245,26,2245
nf_0026_ns_2272,26,2272
nf_0026_ns_2299,26,2299
nf_0026_ns_2325,26,2325
nf_0026_ns_2352,26,2352
nf_0026_ns_2379,26,2379
nf_0026_ns_2406,26,2406
nf_0026_ns_2432,26,2432
nf_0026_ns_2459,26,2459
nf_0026_ns_2486,26,2486
nf_0026_ns_2512,26,2512
nf_0026_ns_2539,26,2539
nf_0026_ns_2566,26,2566
nf_0026_ns_2593,26,2593
nf_0026_ns_2619,26,2619
nf_0026_ns_2646,26,2646
nf_0026_ns_2673,26,2673
nf_0026_ns_2700,26,2700
nf_0031_ns_0054,31,54
nf_0031_ns_0080,31,80
nf_0031_ns_0107,31,107
nf_0031_ns_0134,31,134
nf_0031_ns_0160,31,160
nf_0031_ns_0187,31,187
nf_0031_ns_0214,31,214
nf_0031_ns_0241,31,241
nf_0031_ns_0267,31,267
nf_0031_ns_0294,31,294
nf_0031_ns_0321,31,321
nf_0031_ns_0348,31,348
nf_0031_ns_0374,31,374
nf_0031_ns_0401,31,401
nf_0031_ns_0428,31,428
nf_0031_ns_0454,31,454
nf_0031_ns_0481,31,481
nf_0031_ns_0508,31,508
nf_0031_ns_0535,31,535
nf_0031_ns_0561,31,561
nf_0031_ns_0588,31,588
nf_0031_ns_0615,31,615
nf_0031_ns_0642,31,642
nf_0031_ns_0668,31,668
nf_0031_ns_0695,31,695
nf_0031_ns_0722,31,722
nf_0031_ns_0748,31,748
nf_0031_ns_0775,31,775
nf_0031_ns_0802,31,802
nf_0031_ns_0829,31,829
nf_0031_ns_0855,31,855
nf_0031_ns_0882,31,882
nf_0031_ns_0909,31,909
nf_0031_ns_0936,31,936
nf_0031_ns_0962,31,962
nf_0031_ns_0989,31,989
nf_0031_ns_1016,31,1016
nf_0031_ns_1042,31,1042
nf_0031_ns_1069,31,1069
nf_0031_ns_1096,31,1096
nf_0031_ns_1123,31,1123
nf_0031_ns_1149,31,1149
nf_0031_ns_1176,31,1176
nf_0031_ns_1203,31,1203
nf_0031_ns_1230,31,1230
nf_0031_ns_1256,31,1256
nf_0031_ns_1283,31,1283
nf_0031_ns_1310,31,1310
nf_0031_ns_1336,31,1336
nf_0031_ns_1363,31,1363
nf_0031_ns_1390,31,1390
nf_0031_ns_1417,31,1417
nf_0031_ns_1443,31,1443
nf_0031_ns_1470,31,1470
nf_0031_ns_1497,31,1497
nf_0031_ns_1524,31,1524
nf_0031_ns_1550,31,1550
nf_0031_ns_1577,31,1577
nf_0031_ns_1604,31,1604
nf_0031_ns_1630,31,1630
nf_0031_ns_1657,31,1657
nf_0031_ns_1684,31,1684
nf_0031_ns_1711,31,1711
nf_0031_ns_1737,31,1737
nf_0031_ns_1764,31,1764
nf_0031_ns_1791,31,1791
nf_0031_ns_1818,31,1818
nf_0031_ns_1844,31,1844
nf_0031_ns_1871,31,1871
nf_0031_ns_1898,31,1898
nf_0031_ns_1924,31,1924
nf_0031_ns_1951,31,1951
nf_0031_ns_1978,31,1978
nf_0031_ns_2005,31,2005
nf_0031_ns_2031,31,2031
nf_0031_ns_2058,31,2058
nf_0031_ns_2085,31,2085
nf_0031_ns_2112,31,2112
nf_0031_ns_2138,31,2138
nf_0031_ns_2165,31,2165
nf_0031_ns_2192,31,2192
nf_0031_ns_2218,31,2218
nf_0031_ns_2245,31,2245
nf_0031_ns_2272,31,2272
nf_0031_ns_2299,31,2299
nf_0031_ns_2325,31,2325
nf_0031_ns_2352,31,2352
nf_0031_ns_2379,31,2379
nf_0031_ns_2406,31,2406
nf_0031_ns_2432,31,2432
nf_0031_ns_2459,31,2459
nf_0031_ns_2486,31,2486
nf_0031_ns_2512,31,2512
nf_0031_ns_2539,31,2539
nf_0031_ns_2566,31,2566
nf_0031_ns_2593,31,2593
nf_0031_ns_2619,31,2619
nf_0031_ns_2646,31,2646
nf_0031_ns_2673,31,2673
nf_0031_ns_2700,31,2700
nf_0036_ns_0054,36,54
nf_0036_ns_0080,36,80
nf_0036_ns_0107,36,107
nf_0036_ns_0134,36,134
nf_0036_ns_0160,36,160
nf_0036_ns_0187,36,187
nf_0036_ns_0214,36,214
nf_0036_ns_0241,36,241
nf_0036_ns_0267,36,267
nf_0036_ns_0294,36,294
nf_0036_ns_0321,36,321
nf_0036_ns_0348,36,348
nf_0036_ns_0374,36,374
nf_0036_ns_0401,36,401
nf_0036_ns_0428,36,428
nf_0036_ns_0454,36,454
nf_0036_ns_0481,36,481
nf_0036_ns_0508,36,508
nf_0036_ns_0535,36,535
nf_0036_ns_0561,36,561
nf_0036_ns_0588,36,588
nf_0036_ns_0615,36,615
nf_0036_ns_0642,36,642
nf_0036_ns_0668,36,668
nf_0036_ns_0695,36,695
nf_0036_ns_0722,36,722
nf_0036_ns_0748,36,748
nf_0036_ns_0775,36,775
nf_0036_ns_0802,36,802
nf_0036_ns_0829,36,829
nf_0036_ns_0855,36,855
nf_0036_ns_0882,36,882
nf_0036_ns_0909,36,909
nf_0036_ns_0936,36,936
nf_0036_ns_0962,36,962
nf_0036_ns_0989,36,989
nf_0036_ns_1016,36,1016
nf_0036_ns_1042,36,1042
nf_0036_ns_1069,36,1069
nf_0036_ns_1096,36,1096
nf_0036_ns_1123,36,1123
nf_0036_ns_1149,36,1149
nf_0036_ns_1176,36,1176
nf_0036_ns_1203,36,1203
nf_0036_ns_1230,36,1230
nf_0036_ns_1256,36,1256
nf_0036_ns_1283,36,1283
nf_0036_ns_1310,36,1310
nf_0036_ns_1336,36,1336
nf_0036_ns_1363,36,1363
nf_0036_ns_1390,36,1390
nf_0036_ns_1417,36,1417
nf_0036_ns_1443,36,1443
nf_0036_ns_1470,36,1470
nf_0036_ns_1497,36,1497
nf_0036_ns_1524,36,1524
nf_0036_ns_1550,36,1550
nf_0036_ns_1577,36,1577
nf_0036_ns_1604,36,1604
nf_0036_ns_1630,36,1630
nf_0036_ns_1657,36,1657
nf_0036_ns_1684,36,1684
nf_0036_ns_1711,36,1711
nf_0036_ns_1737,36,1737
nf_0036_ns_1764,36,1764
nf_0036_ns_1791,36,1791
nf_0036_ns_1818,36,1818
nf_0036_ns_1844,36,1844
nf_0036_ns_1871,36,1871
nf_0036_ns_1898,36,1898
nf_0036_ns_1924,36,1924
nf_0036_ns_1951,36,1951
nf_0036_ns_1978,36,1978
nf_0036_ns_2005,36,2005
nf_0036_ns_2031,36,2031
nf_0036_ns_2058,36,2058
nf_0036_ns_2085,36,2085
nf_0036_ns_2112,36,2112
nf_0036_ns_2138,36,2138
nf_0036_ns_2165,36,2165
nf_0036_ns_2192,36,2192
nf_0036_ns_2218,36,2218
nf_0036_ns_2245,36,2245
nf_0036_ns_2272,36,2272
nf_0036_ns_2299,36,2299
nf_0036_ns_2325,36,2325
nf_0036_ns_2352,36,2352
nf_0036_ns_2379,36,2379
nf_0036_ns_2406,36,2406
nf_0036_ns_2432,36,2432
nf_0036_ns_2459,36,2459
nf_0036_ns_2486,36,2486
nf_0036_ns_2512,36,2512
nf_0036_ns_2539,36,2539
nf_0036_ns_2566,36,2566
nf_0036_ns_2593,36,2593
nf_0036_ns_2619,36,2619
nf_0036_ns_2646,36,2646
nf_0036_ns_2673,36,2673
nf_0036_ns_2700,36,2700
nf_0042_ns_0054,42,54
nf_0042_ns_0080,42,80
nf_0042_ns_0107,42,107
nf_0042_ns_0134,42,134
nf_0042_ns_0160,42,160
nf_0042_ns_0187,42,187
nf_0042_ns_0214,42,214
nf_0042_ns_0241,42,241
nf_0042_ns_0267,42,267
nf_0042_ns_0294,42,294
nf_0042_ns_0321,42,321
nf_0042_ns_0348,42,348
nf_0042_ns_0374,42,374
nf_0042_ns_0401,42,401
nf_0042_ns_0428,42,428
nf_0042_ns_0454,42,454
nf_0042_ns_0481,42,481
nf_0042_ns_0508,42,508
nf_0042_ns_0535,42,535
nf_0042_ns_0561,42,561
nf_0042_ns_0588,42,588
nf_0042_ns_0615,42,615
nf_0042_ns_0642,42,642
nf_0042_ns_0668,42,668
nf_0042_ns_0695,42,695
nf_0042_ns_0722,42,722
nf_0042_ns_0748,42,748
nf_0042_ns_0775,42,775
nf_0042_ns_0802,42,802
nf_0042_ns_0829,42,829
nf_0042_ns_0855,42,855
nf_0042_ns_0882,42,882
nf_0042_ns_0909,42,909
nf_0042_ns_0936,42,936
nf_0042_ns_0962,42,962
nf_0042_ns_0989,42,989
nf_0042_ns_1016,42,1016
nf_0042_ns_1042,42,1042
nf_0042_ns_1069,42,1069
nf_0042_ns_1096,42,1096
nf_0042_ns_1123,42,1123
nf_0042_ns_1149,42,1149
nf_0042_ns_1176,42,1176
nf_0042_ns_1203,42,1203
nf_0042_ns_1230,42,1230
nf_0042_ns_1256,42,1256
nf_0042_ns_1283,42,1283
nf_0042_ns_1310,42,1310
nf_0042_ns_1336,42,1336
nf_0042_ns_1363,42,1363
nf_0042_ns_1390,42,1390
nf_0042_ns_1417,42,1417
nf_0042_ns_1443,42,1443
nf_0042_ns_1470,42,1470
nf_0042_ns_1497,42,1497
nf_0042_ns_1524,42,1524
nf_0042_ns_1550,42,1550
nf_0042_ns_1577,42,1577
nf_0042_ns_1604,42,1604
nf_0042_ns_1630,42,1630
nf_0042_ns_1657,42,1657
nf_0042_ns_1684,42,1684
nf_0042_ns_1711,42,1711
nf_0042_ns_1737,42,1737
nf_0042_ns_1764,42,1764
nf_0042_ns_1791,42,1791
nf_0042_ns_1818,42,1818
nf_0042_ns_1844,42,1844
nf_0042_ns_1871,42,1871
nf_0042_ns_1898,42,1898
nf_0042_ns_1924,42,1924
nf_0042_ns_1951,42,1951
nf_0042_ns_1978,42,1978
nf_0042_ns_2005,42,2005
nf_0042_ns_2031,42,2031
nf_0042_ns_2058,42,2058
nf_0042_ns_2085,42,2085
nf_0042_ns_2112,42,2112
nf_0042_ns_2138,42,2138
nf_0042_ns_2165,42,2165
nf_0042_ns_2192,42,2192
nf_0042_ns_2218,42,2218
nf_0042_ns_2245,42,2245
nf_0042_ns_2272,42,2272
nf_0042_ns_2299,42,2299
nf_0042_ns_2325,42,2325
nf_0042_ns_2352,42,2352
nf_0042_ns_2379,42,2379
nf_0042_ns_2406,42,2406
nf_0042_ns_2432,42,2432
nf_0042_ns_2459,42,2459
nf_0042_ns_2486,42,2486
nf_0042_ns_2512,42,2512
nf_0042_ns_2539,42,2539
nf_0042_ns_2566,42,2566
nf_0042_ns_2593,42,2593
nf_0042_ns_2619,42,2619
nf_0042_ns_2646,42,2646
nf_0042_ns_2673,42,2673
nf_0042_ns_2700,42,2700
nf_0047_ns_0054,47,54
nf_0047_ns_0080,47,80
nf_0047_ns_0107,47,107
nf_0047_ns_0134,47,134
nf_0047_ns_0160,47,160
nf_0047_ns_0187,47,187
nf_0047_ns_0214,47,214
nf_0047_ns_0241,47,241
nf_0047_ns_0267,47,267
nf_0047_ns_0294,47,294
nf_0047_ns_0321,47,321
nf_0047_ns_0348,47,348
nf_0047_ns_0374,47,374
nf_0047_ns_0401,47,401
nf_0047_ns_0428,47,428
nf_0047_ns_0454,47,454
nf_0047_ns_0481,47,481
nf_0047_ns_0508,47,508
nf_0047_ns_0535,47,535
nf_0047_ns_0561,47,561
nf_0047_ns_0588,47,588
nf_0047_ns_0615,47,615
nf_0047_ns_0642,47,642
nf_0047_ns_0668,47,668
nf_0047_ns_0695,47,695
nf_0047_ns_0722,47,722
nf_0047_ns_0748,47,748
nf_0047_ns_0775,47,775
nf_0047_ns_0802,47,802
nf_0047_ns_0829,47,829
nf_0047_ns_0855,47,855
nf_0047_ns_0882,47,882
nf_0047_ns_0909,47,909
nf_0047_ns_0936,47,936
nf_0047_ns_0962,47,962
nf_0047_ns_0989,47,989
nf_0047_ns_1016,47,1016
nf_0047_ns_1042,47,1042
nf_0047_ns_1069,47,1069
nf_0047_ns_1096,47,1096
nf_0047_ns_1123,47,1123
nf_0047_ns_1149,47,1149
nf_0047_ns_1176,47,1176
nf_0047_ns_1203,47,1203
nf_0047_ns_1230,47,1230
nf_0047_ns_1256,47,1256
nf_0047_ns_1283,47,1283
nf_0047_ns_1310,47,1310
nf_0047_ns_1336,47,1336
nf_0047_ns_1363,47,1363
nf_0047_ns_1390,47,1390
nf_0047_ns_1417,47,1417
nf_0047_ns_1443,47,1443
nf_0047_ns_1470,47,1470
nf_0047_ns_1497,47,1497
nf_0047_ns_1524,47,1524
nf_0047_ns_1550,47,1550
nf_0047_ns_1577,47,1577
nf_0047_ns_1604,47,1604
nf_0047_ns_1630,47,1630
nf_0047_ns_1657,47,1657
nf_0047_ns_1684,47,1684
nf_0047_ns_1711,47,1711
nf_0047_ns_1737,47,1737
nf_0047_ns_1764,47,1764
nf_0047_ns_1791,47,1791
nf_0047_ns_1818,47,1818
nf_0047_ns_1844,47,1844
nf_0047_ns_1871,47,1871
nf_0047_ns_1898,47,1898
nf_0047_ns_1924,47,1924
nf_0047_ns_1951,47,1951
nf_0047_ns_1978,47,1978
nf_0047_ns_2005,47,2005
nf_0047_ns_2031,47,2031
nf_0047_ns_2058,47,2058
nf_0047_ns_2085,47,2085
nf_0047_ns_2112,47,2112
nf_0047_ns_2138,47,2138
nf_0047_ns_2165,47,2165
nf_0047_ns_2192,47,2192
nf_0047_ns_2218,47,2218
nf_0047_ns_2245,47,2245
nf_0047_ns_2272,47,2272
nf_0047_ns_2299,47,2299
nf_0047_ns_2325,47,2325
nf_0047_ns_2352,47,2352
nf_0047_ns_2379,47,2379
nf_0047_ns_2406,47,2406
nf_0047_ns_2432,47,2432
nf_0047_ns_2459,47,2459
nf_0047_ns_2486,47,2486
nf_0047_ns_2512,47,2512
nf_0047_ns_2539,47,2539
nf_0047_ns_2566,47,2566
nf_0047_ns_2593,47,2593
nf_0047_ns_2619,47,2619
nf_0047_ns_2646,47,2646
nf_0047_ns_2673,47,2673
nf_0047_ns_2700,47,2700
nf_0052_ns_0054,52,54
nf_0052_ns_0080,52,80
nf_0052_ns_0107,52,107
nf_0052_ns_0134,52,134
nf_0052_ns_0160,52,160
nf_0052_ns_0187,52,187
nf_0052_ns_0214,52,214
nf_0052_ns_0241,52,241
nf_0052_ns_0267,52,267
nf_0052_ns_0294,52,294
nf_0052_ns_0321,52,321
nf_0052_ns_0348,52,348
nf_0052_ns_0374,52,374
nf_0052_ns_0401,52,401
nf_0052_ns_0428,52,428
nf_0052_ns_0454,52,454
nf_0052_ns_0481,52,481
nf_0052_ns_0508,52,508
nf_0052_ns_0535,52,535
nf_0052_ns_0561,52,561
nf_0052_ns_0588,52,588
nf_0052_ns_0615,52,615
nf_0052_ns_0642,52,642
nf_0052_ns_0668,52,668
nf_0052_ns_0695,52,695
nf_0052_ns_0722,52,722
nf_0052_ns_0748,52,748
nf_0052_ns_0775,52,775
nf_0052_ns_0802,52,802
nf_0052_ns_0829,52,829
nf_0052_ns_0855,52,855
nf_0052_ns_0882,52,882
nf_0052_ns_0909,52,909
nf_0052_ns_0936,52,936
nf_0052_ns_0962,52,962
nf_0052_ns_0989,52,989
nf_0052_ns_1016,52,1016
nf_0052_ns_1042,52,1042
nf_0052_ns_1069,52,1069
